,code,number,price,city
147,X,54050,"3,500 AED",duabi_new
148,X,56050,"3,500 AED",duabi_new
149,X,62129,"3,500 AED",duabi_new
150,X,62202,"3,500 AED",duabi_new
151,X,72202,"3,500 AED",duabi_new
152,X,89118,"3,500 AED",duabi_new
153,X,92126,"3,500 AED",duabi_new
154,X,98119,"3,500 AED",duabi_new
155,X,99789,"3,500 AED",duabi_new
156,J,30409,"3,000 AED",duabi_new
157,K,10904,"3,000 AED",duabi_new
158,K,30107,"3,000 AED",duabi_new
159,K,50109,"3,000 AED",duabi_new
160,K,90401,"3,000 AED",duabi_new
161,O,55141,"3,000 AED",duabi_new
162,P,13353,"3,000 AED",duabi_new
163,P,13363,"3,000 AED",duabi_new
164,P,14474,"3,000 AED",duabi_new
165,P,16646,"3,000 AED",duabi_new
166,P,18848,"3,000 AED",duabi_new
167,P,24233,"3,000 AED",duabi_new
168,P,34322,"3,000 AED",duabi_new
169,P,34355,"3,000 AED",duabi_new
170,P,34414,"3,000 AED",duabi_new
171,P,35311,"3,000 AED",duabi_new
172,P,35344,"3,000 AED",duabi_new
173,P,36311,"3,000 AED",duabi_new
174,P,37311,"3,000 AED",duabi_new
175,P,38311,"3,000 AED",duabi_new
176,P,43422,"3,000 AED",duabi_new
177,P,45433,"3,000 AED",duabi_new
178,P,45466,"3,000 AED",duabi_new
179,P,46455,"3,000 AED",duabi_new
180,P,47411,"3,000 AED",duabi_new
181,P,48411,"3,000 AED",duabi_new
182,P,54533,"3,000 AED",duabi_new
183,P,54566,"3,000 AED",duabi_new
184,P,55141,"3,000 AED",duabi_new
185,P,55414,"3,000 AED",duabi_new
186,P,56544,"3,000 AED",duabi_new
187,P,57566,"3,000 AED",duabi_new
188,P,65644,"3,000 AED",duabi_new
189,P,65677,"3,000 AED",duabi_new
190,P,67611,"3,000 AED",duabi_new
191,P,67655,"3,000 AED",duabi_new
192,P,75766,"3,000 AED",duabi_new
193,P,76755,"3,000 AED",duabi_new
194,P,84811,"3,000 AED",duabi_new
195,P,85811,"3,000 AED",duabi_new
196,Q,46656,"3,000 AED",duabi_new
197,T,30343,"3,000 AED",duabi_new
198,T,33043,"3,000 AED",duabi_new
199,T,40454,"3,000 AED",duabi_new
200,T,43404,"3,000 AED",duabi_new
201,T,44131,"3,000 AED",duabi_new
202,T,55141,"3,000 AED",duabi_new
203,T,66151,"3,000 AED",duabi_new
204,T,67066,"3,000 AED",duabi_new
205,U,11363,"3,000 AED",duabi_new
206,U,11373,"3,000 AED",duabi_new
207,U,11383,"3,000 AED",duabi_new
208,U,11393,"3,000 AED",duabi_new
209,U,11424,"3,000 AED",duabi_new
210,U,11454,"3,000 AED",duabi_new
211,U,11464,"3,000 AED",duabi_new
212,U,11474,"3,000 AED",duabi_new
213,U,11484,"3,000 AED",duabi_new
214,U,11535,"3,000 AED",duabi_new
215,U,11545,"3,000 AED",duabi_new
216,U,11565,"3,000 AED",duabi_new
217,U,11575,"3,000 AED",duabi_new
218,U,11595,"3,000 AED",duabi_new
219,U,11626,"3,000 AED",duabi_new
220,U,11646,"3,000 AED",duabi_new
