code,number,price,city
P,13353,"3,000 AED",duabi_new
P,13363,"3,000 AED",duabi_new
P,14474,"3,000 AED",duabi_new
P,16646,"3,000 AED",duabi_new
P,18848,"3,000 AED",duabi_new
P,24233,"3,000 AED",duabi_new
P,34322,"3,000 AED",duabi_new
P,34355,"3,000 AED",duabi_new
P,34414,"3,000 AED",duabi_new
P,35311,"3,000 AED",duabi_new
P,35344,"3,000 AED",duabi_new
P,36311,"3,000 AED",duabi_new
P,37311,"3,000 AED",duabi_new
P,38311,"3,000 AED",duabi_new
P,43422,"3,000 AED",duabi_new
P,45433,"3,000 AED",duabi_new
P,45466,"3,000 AED",duabi_new
P,46455,"3,000 AED",duabi_new
P,47411,"3,000 AED",duabi_new
P,48411,"3,000 AED",duabi_new
P,54533,"3,000 AED",duabi_new
P,54566,"3,000 AED",duabi_new
P,55141,"3,000 AED",duabi_new
P,55414,"3,000 AED",duabi_new
P,56544,"3,000 AED",duabi_new
P,57566,"3,000 AED",duabi_new
P,65644,"3,000 AED",duabi_new
P,65677,"3,000 AED",duabi_new
P,67611,"3,000 AED",duabi_new
P,67655,"3,000 AED",duabi_new
P,75766,"3,000 AED",duabi_new
P,76755,"3,000 AED",duabi_new
P,84811,"3,000 AED",duabi_new
P,85811,"3,000 AED",duabi_new
Q,46656,"3,000 AED",duabi_new
T,30343,"3,000 AED",duabi_new
T,33043,"3,000 AED",duabi_new
T,40454,"3,000 AED",duabi_new
T,43404,"3,000 AED",duabi_new
T,44131,"3,000 AED",duabi_new
T,55141,"3,000 AED",duabi_new
T,66151,"3,000 AED",duabi_new
T,67066,"3,000 AED",duabi_new
U,11363,"3,000 AED",duabi_new
U,11373,"3,000 AED",duabi_new
U,11383,"3,000 AED",duabi_new
U,11393,"3,000 AED",duabi_new
U,11424,"3,000 AED",duabi_new
U,11454,"3,000 AED",duabi_new
U,11464,"3,000 AED",duabi_new
U,11474,"3,000 AED",duabi_new
U,11484,"3,000 AED",duabi_new
U,11535,"3,000 AED",duabi_new
U,11545,"3,000 AED",duabi_new
U,11565,"3,000 AED",duabi_new
U,11575,"3,000 AED",duabi_new
U,11595,"3,000 AED",duabi_new
U,11626,"3,000 AED",duabi_new
U,11646,"3,000 AED",duabi_new
U,11656,"3,000 AED",duabi_new
U,11676,"3,000 AED",duabi_new
U,11737,"3,000 AED",duabi_new
U,11747,"3,000 AED",duabi_new
U,11828,"3,000 AED",duabi_new
U,11838,"3,000 AED",duabi_new
U,11848,"3,000 AED",duabi_new
U,11858,"3,000 AED",duabi_new
U,11878,"3,000 AED",duabi_new
U,11929,"3,000 AED",duabi_new
U,11939,"3,000 AED",duabi_new
U,11959,"3,000 AED",duabi_new
U,13144,"3,000 AED",duabi_new
U,14133,"3,000 AED",duabi_new
U,15144,"3,000 AED",duabi_new
U,15545,"3,000 AED",duabi_new
U,16155,"3,000 AED",duabi_new
U,16177,"3,000 AED",duabi_new
U,16199,"3,000 AED",duabi_new
U,16656,"3,000 AED",duabi_new
U,16696,"3,000 AED",duabi_new
U,17166,"3,000 AED",duabi_new
U,18177,"3,000 AED",duabi_new
U,22404,"3,000 AED",duabi_new
U,22505,"3,000 AED",duabi_new
U,22606,"3,000 AED",duabi_new
U,22707,"3,000 AED",duabi_new
U,23244,"3,000 AED",duabi_new
U,24233,"3,000 AED",duabi_new
U,24434,"3,000 AED",duabi_new
U,25211,"3,000 AED",duabi_new
U,26211,"3,000 AED",duabi_new
U,28211,"3,000 AED",duabi_new
U,30366,"3,000 AED",duabi_new
U,31344,"3,000 AED",duabi_new
U,32242,"3,000 AED",duabi_new
U,32344,"3,000 AED",duabi_new
U,33141,"3,000 AED",duabi_new
U,33505,"3,000 AED",duabi_new
U,33707,"3,000 AED",duabi_new
U,33808,"3,000 AED",duabi_new
U,33909,"3,000 AED",duabi_new
U,34322,"3,000 AED",duabi_new
U,34355,"3,000 AED",duabi_new
U,34424,"3,000 AED",duabi_new
U,34454,"3,000 AED",duabi_new
U,35311,"3,000 AED",duabi_new
U,35344,"3,000 AED",duabi_new
U,36311,"3,000 AED",duabi_new
U,37311,"3,000 AED",duabi_new
U,38311,"3,000 AED",duabi_new
U,39311,"3,000 AED",duabi_new
U,40466,"3,000 AED",duabi_new
U,40477,"3,000 AED",duabi_new
U,40488,"3,000 AED",duabi_new
U,41433,"3,000 AED",duabi_new
U,41455,"3,000 AED",duabi_new
U,42433,"3,000 AED",duabi_new
U,43353,"3,000 AED",duabi_new
U,43422,"3,000 AED",duabi_new
U,43455,"3,000 AED",duabi_new
U,44047,"3,000 AED",duabi_new
U,44048,"3,000 AED",duabi_new
U,44049,"3,000 AED",duabi_new
U,44131,"3,000 AED",duabi_new
U,44151,"3,000 AED",duabi_new
U,44202,"3,000 AED",duabi_new
U,44313,"3,000 AED",duabi_new
U,44340,"3,000 AED",duabi_new
U,44515,"3,000 AED",duabi_new
U,44535,"3,000 AED",duabi_new
U,44565,"3,000 AED",duabi_new
U,44606,"3,000 AED",duabi_new
U,44656,"3,000 AED",duabi_new
U,44707,"3,000 AED",duabi_new
U,44808,"3,000 AED",duabi_new
U,44909,"3,000 AED",duabi_new
U,45433,"3,000 AED",duabi_new
U,45466,"3,000 AED",duabi_new
U,45515,"AED3,000",duabi_new
U,45535,"AED3,000",duabi_new
U,46411,"AED3,000",duabi_new
U,46455,"AED3,000",duabi_new
U,46656,"AED3,000",duabi_new
U,48411,"AED3,000",duabi_new
U,49411,"AED3,000",duabi_new
U,51121,"AED3,000",duabi_new
U,51544,"AED3,000",duabi_new
U,53343,"AED3,000",duabi_new
U,53544,"AED3,000",duabi_new
U,54414,"AED3,000",duabi_new
U,54434,"AED3,000",duabi_new
U,54464,"AED3,000",duabi_new
U,54511,"AED3,000",duabi_new
U,54533,"AED3,000",duabi_new
U,55057,"AED3,000",duabi_new
U,55058,"AED3,000",duabi_new
U,55141,"AED3,000",duabi_new
U,55161,"AED3,000",duabi_new
U,55171,"AED3,000",duabi_new
U,55202,"AED3,000",duabi_new
U,55303,"AED3,000",duabi_new
U,55343,"AED3,000",duabi_new
U,55414,"AED3,000",duabi_new
U,55616,"AED3,000",duabi_new
U,55707,"AED3,000",duabi_new
U,55767,"AED3,000",duabi_new
U,56544,"AED3,000",duabi_new
U,56646,"AED3,000",duabi_new
U,57511,"AED3,000",duabi_new
U,57566,"AED3,000",duabi_new
